255-62_Parent_Identify	184	Picture	HE,8	1743779	0	1
255-62_Parent_Identify	186	Picture	UO,32	1761933	0	1
255-62_Parent_Identify	188	Picture	HL,8	1782086	0	1
255-62_Parent_Identify	190	Picture	CQ,16	1802238	0	1
255-62_Parent_Identify	192	Picture	NK,64	1822224	0	1
255-62_Parent_Identify	194	Picture	HP,8	1842543	0	1
255-62_Parent_Identify	196	Picture	NJ,64	1861530	0	1
255-62_Parent_Identify	198	Picture	UK,32	1881349	0	1
255-62_Parent_Identify	200	Picture	HH,8	1901169	0	1
255-62_Parent_Identify	202	Picture	CX,16	1920822	0	1
255-62_Parent_Identify	204	Picture	NI,64	1939642	0	1
255-62_Parent_Identify	206	Picture	HG,8	1958295	0	1
255-62_Parent_Identify	208	Picture	HD,8	1977782	0	1
255-62_Parent_Identify	210	Picture	CP,16	1997268	0	1
255-62_Parent_Identify	212	Picture	NL,64	2015922	0	1
255-62_Parent_Identify	214	Picture	NM,64	2035075	0	1
255-62_Parent_Identify	216	Picture	HJ,8	2054395	0	1
255-62_Parent_Identify	218	Picture	UF,32	2073881	0	1
255-62_Parent_Identify	220	Picture	UT,32	2093701	0	1
255-62_Parent_Identify	222	Picture	CL,16	2112854	0	1
255-62_Parent_Identify	224	Picture	HX,8	2132840	0	1
255-62_Parent_Identify	226	Picture	UD,32	2152160	0	1
255-62_Parent_Identify	228	Picture	NS,64	2171979	0	1
255-62_Parent_Identify	230	Picture	HT,8	2190966	0	1
255-62_Parent_Identify	232	Picture	CD,16	2209120	0	1
255-62_Parent_Identify	234	Picture	HR,8	2228773	0	1
255-62_Parent_Identify	236	Picture	CN,16	2247760	0	1
255-62_Parent_Identify	238	Picture	HV,8	2266913	0	1
255-62_Parent_Identify	240	Picture	UW,32	2287232	0	1
255-62_Parent_Identify	242	Picture	NQ,64	2307051	0	1
255-62_Parent_Identify	244	Picture	NN,64	2327204	0	1
255-62_Parent_Identify	246	Picture	HW,8	2345691	0	1
255-62_Parent_Identify	248	Picture	CW,16	2364178	0	1
255-62_Parent_Identify	250	Picture	CE,16	2383831	0	1
255-62_Parent_Identify	252	Picture	HC,8	2402318	0	1
255-62_Parent_Identify	254	Picture	UA,32	2421971	0	1
255-62_Parent_Identify	256	Picture	CH,16	2440624	0	1
255-62_Parent_Identify	258	Picture	CO,16	2459278	0	1
255-62_Parent_Identify	260	Picture	CK,16	2477932	0	1
255-62_Parent_Identify	262	Picture	UN,32	2496252	0	1
255-62_Parent_Identify	264	Picture	NH,64	2515072	0	1
255-62_Parent_Identify	266	Picture	UL,32	2535225	0	1
255-62_Parent_Identify	268	Picture	UV,32	2554045	0	1
