222-10_Parent_Identify	224	Response	20	2157836	4684	1
222-10_Parent_Identify	226	Response	20	2181116	8644	1
222-10_Parent_Identify	228	Response	18	2196876	4751	1
222-10_Parent_Identify	230	Response	18	2215195	5083	1
222-10_Parent_Identify	232	Response	24	2233275	4842	1
222-10_Parent_Identify	234	Response	20	2252874	6288	1
222-10_Parent_Identify	236	Response	20	2272393	5821	1
222-10_Parent_Identify	238	Response	18	2289113	3221	1
222-10_Parent_Identify	242	Response	20	2327512	4979	1
222-10_Parent_Identify	244	Response	18	2347352	4666	1
222-10_Parent_Identify	246	Response	20	2367031	5526	1
222-10_Parent_Identify	248	Response	18	2385110	4618	1
222-10_Parent_Identify	250	Response	24	2405190	5045	1
222-10_Parent_Identify	252	Response	18	2424389	5424	1
222-10_Parent_Identify	254	Response	20	2445349	6231	1
222-10_Parent_Identify	256	Response	22	2464948	5512	1
222-10_Parent_Identify	258	Response	24	2480628	2371	1
222-10_Parent_Identify	260	Response	24	2501188	4611	1
222-10_Parent_Identify	264	Response	20	2540466	4417	1
222-10_Parent_Identify	266	Response	20	2560226	5856	1
222-10_Parent_Identify	268	Response	22	2578145	4289	1
222-10_Parent_Identify	270	Response	22	2597345	5168	1
222-10_Parent_Identify	272	Response	18	2616144	5980	1
222-10_Parent_Identify	274	Response	18	2633824	3674	1
222-10_Parent_Identify	276	Response	20	2655583	7446	1
222-10_Parent_Identify	278	Response	22	2671103	3479	1
222-10_Parent_Identify	280	Response	24	2690782	4672	1
222-10_Parent_Identify	282	Response	22	2711422	5492	1
222-10_Parent_Identify	284	Response	18	2731421	5172	1
222-10_Parent_Identify	286	Response	18	2751501	5100	1
222-10_Parent_Identify	288	Response	18	2770861	4973	1
222-10_Parent_Identify	290	Response	20	2792060	6019	1
222-10_Parent_Identify	292	Response	22	2809019	4658	1
222-10_Parent_Identify	294	Response	24	2828858	4179	1
222-10_Parent_Identify	296	Response	24	2850378	5379	1
222-10_Parent_Identify	298	Response	24	2870137	4820	1
222-10_Parent_Identify	300	Response	22	2887257	3119	1
222-10_Parent_Identify	302	Response	24	2910536	6246	1
222-10_Parent_Identify	304	Response	24	2930136	6026	1
222-10_Parent_Identify	306	Response	20	2948615	5686	1
222-10_Parent_Identify	308	Response	18	2968535	6286	1
222-10_Parent_Identify	310	Response	20	2988054	6817	1
222-10_Parent_Identify	312	Response	18	3005413	4525	1
222-10_Parent_Identify	314	Response	20	3025013	5138	1
222-10_Parent_Identify	316	Response	22	3043653	5790	1
222-10_Parent_Identify	318	Response	22	3061972	4123	1
222-10_Parent_Identify	322	Response	18	3101811	6155	1
222-10_Parent_Identify	324	Response	20	3118370	3395	1
